Entity,Year,Annual CO₂ emissions
Honduras,2022,11159723.0
Hong Kong,2017,42431172.0
Hong Kong,2018,42600628.0
Hong Kong,2019,41900196.0
Hong Kong,2020,33497124.0
Hong Kong,2021,32775524.0
Hong Kong,2022,30568888.0
Hungary,2017,49580330.0
Hungary,2018,49534410.0
Hungary,2019,49310484.0
Hungary,2020,47335468.0
Hungary,2021,48563856.0
Hungary,2022,44353616.0
Iceland,2017,3612189.0
Iceland,2018,3668959.0
Iceland,2019,3558741.0
Iceland,2020,3339561.0
Iceland,2021,3510051.0
Iceland,2022,3542503.0
India,2017,2426606800.0
India,2018,2593057800.0
India,2019,2612888000.0
India,2020,2421552000.0
India,2021,2674221800.0
India,2022,2829644300.0
Indonesia,2017,556944200.0
Indonesia,2018,594101400.0
Indonesia,2019,650905900.0
Indonesia,2020,605984600.0
Indonesia,2021,615923400.0
Indonesia,2022,728883260.0
Iran,2017,685401300.0
Iran,2018,710214800.0
Iran,2019,694666500.0
Iran,2020,679007200.0
Iran,2021,688076300.0
Iran,2022,690635260.0
Iraq,2017,176963090.0
Iraq,2018,183753490.0
Iraq,2019,189606500.0
Iraq,2020,159840260.0
Iraq,2021,168586340.0
Iraq,2022,179080800.0
Ireland,2017,39078276.0
Ireland,2018,39012556.0
Ireland,2019,37325750.0
Ireland,2020,35123776.0
Ireland,2021,37547284.0
Ireland,2022,38784012.0
Israel,2017,58841624.0
Israel,2018,59985780.0
Israel,2019,58659188.0
Israel,2020,55697504.0
Israel,2021,54849148.0
Israel,2022,56118090.0
Italy,2017,353418600.0
Italy,2018,349826900.0
Italy,2019,340402530.0
Italy,2020,303281280.0
Italy,2021,337229900.0
Italy,2022,338097280.0
Jamaica,2017,7797546.0
Jamaica,2018,8086434.5
Jamaica,2019,7823415.0
Jamaica,2020,6462606.0
Jamaica,2021,6608377.0
Jamaica,2022,6487594.0
Japan,2017,1186802300.0
Japan,2018,1141668900.0
Japan,2019,1104539800.0
Japan,2020,1039795900.0
Japan,2021,1062129300.0
Japan,2022,1053797800.0
Jordan,2017,25813520.0
Jordan,2018,25141976.0
Jordan,2019,24728612.0
Jordan,2020,21128764.0
Jordan,2021,22667308.0
Jordan,2022,22912578.0
Kazakhstan,2017,293476480.0
Kazakhstan,2018,307174100.0
Kazakhstan,2019,275289760.0
Kazakhstan,2020,255486480.0
Kazakhstan,2021,255142930.0
Kazakhstan,2022,271178270.0
Kenya,2017,17709414.0
Kenya,2018,18837988.0
Kenya,2019,19799186.0
Kenya,2020,21982360.0
Kenya,2021,24457572.0
Kenya,2022,24851922.0
Kiribati,2017,65952.0
Kiribati,2018,65952.0
Kiribati,2019,65952.0
Kiribati,2020,65952.0
Kiribati,2021,68819.0
Kiribati,2022,68043.0
Kosovo,2017,8022504.0
Kosovo,2018,8044655.0
Kosovo,2019,8389661.0
Kosovo,2020,8451382.0
Kosovo,2021,8088310.0
Kosovo,2022,8017524.5
Kuwait,2017,103313340.0
Kuwait,2018,105547870.0
Kuwait,2019,108893460.0
Kuwait,2020,97712410.0
Kuwait,2021,103282790.0
Kuwait,2022,109190000.0
Kyrgyzstan,2017,9360708.0
Kyrgyzstan,2018,11171519.0
Kyrgyzstan,2019,9046309.0
Kyrgyzstan,2020,8348849.5
Kyrgyzstan,2021,9433804.0
Kyrgyzstan,2022,9449704.0
Laos,2017,19683848.0
Laos,2018,20558106.0
Laos,2019,19534332.0
Laos,2020,19674886.0
Laos,2021,23366972.0
Laos,2022,23193406.0
Latvia,2017,7216303.0
Latvia,2018,7863008.0
Latvia,2019,7650647.0
Latvia,2020,6999913.0
Latvia,2021,7240496.0
Latvia,2022,6591454.0
Lebanon,2017,27824084.0
Lebanon,2018,26160182.0
Lebanon,2019,25661360.0
Lebanon,2020,22279648.0
Lebanon,2021,23471840.0
Lebanon,2022,23904522.0
Lesotho,2017,2513504.0
Lesotho,2018,2370608.0
Lesotho,2019,2388928.0
Lesotho,2020,2172752.0
Lesotho,2021,2480521.0
Lesotho,2022,3134694.0
Liberia,2017,890868.0
Liberia,2018,421768.0
Liberia,2019,1019598.0
Liberia,2020,769421.0
Liberia,2021,865255.0
Liberia,2022,876934.0
Libya,2017,53437024.0
Libya,2018,54019470.0
Libya,2019,70527430.0
Libya,2020,47068096.0
Libya,2021,63925804.0
Libya,2022,62961304.0
Liechtenstein,2017,155769.0
Liechtenstein,2018,142950.0
Liechtenstein,2019,149022.0
Liechtenstein,2020,141929.0
Liechtenstein,2021,145884.0
Liechtenstein,2022,149934.0
Lithuania,2017,13286188.0
Lithuania,2018,13434746.0
Lithuania,2019,13677775.0
Lithuania,2020,13538674.0
Lithuania,2021,13829675.0
Lithuania,2022,12667216.0
Luxembourg,2017,9267992.0
Luxembourg,2018,9573905.0
Luxembourg,2019,9769623.0
Luxembourg,2020,8067690.0
Luxembourg,2021,8429713.0
Luxembourg,2022,7524108.0
Macao,2017,1927264.0
Macao,2018,1242096.0
Macao,2019,1212784.0
Macao,2020,1033247.94
Macao,2021,1068793.0
Macao,2022,1051646.0
Madagascar,2017,4118890.8
Madagascar,2018,3791318.0
Madagascar,2019,4256360.0
Madagascar,2020,3963948.0
Madagascar,2021,4266675.0
Madagascar,2022,4403593.0
Malawi,2017,1229673.0
Malawi,2018,1723025.0
Malawi,2019,1636507.0
Malawi,2020,1870757.0
Malawi,2021,2078419.9
Malawi,2022,2094072.1
Malaysia,2017,244105580.0
Malaysia,2018,262207180.0
Malaysia,2019,267494290.0
Malaysia,2020,269248670.0
Malaysia,2021,278861220.0
Malaysia,2022,291071360.0
Maldives,2017,1513232.0
Maldives,2018,1740400.0
Maldives,2019,1952912.0
Maldives,2020,1648800.0
Maldives,2021,1720469.0
Maldives,2022,1701072.0
Mali,2017,4656420.0
Mali,2018,4908662.0
Mali,2019,5832595.0
Mali,2020,6418546.0
Mali,2021,6928157.0
Mali,2022,7038757.0
Malta,2017,1530839.0
Malta,2018,1546735.0
Malta,2019,1648764.0
Malta,2020,1597200.0
Malta,2021,1606727.0
Malta,2022,1655127.0
Marshall Islands,2017,146560.0
Marshall Islands,2018,146560.0
Marshall Islands,2019,146560.0
Marshall Islands,2020,146560.0
Marshall Islands,2021,152931.0
Marshall Islands,2022,151206.0
Mauritania,2017,3419921.0
Mauritania,2018,3664324.0
Mauritania,2019,3773920.0
Mauritania,2020,4118336.2
Mauritania,2021,4455008.0
Mauritania,2022,4534088.0
Mauritius,2017,4536032.0
Mauritius,2018,4459088.0
Mauritius,2019,4521376.0
Mauritius,2020,3806896.0
Mauritius,2021,4090829.8
Mauritius,2022,4249021.0
Mexico,2017,465620930.0
Mexico,2018,470285860.0
Mexico,2019,468322140.0
Mexico,2020,442289100.0
Mexico,2021,468791360.0
Mexico,2022,511971970.0
Micronesia (country),2017,142896.0
Micronesia (country),2018,142896.0
Micronesia (country),2019,146560.0
Micronesia (country),2020,146560.0
Micronesia (country),2021,152931.0
Micronesia (country),2022,151206.0
Moldova,2017,5220511.0
Moldova,2018,5445450.0
Moldova,2019,5495003.0
Moldova,2020,5241230.0
Moldova,2021,5596952.0
Moldova,2022,5422021.0
